### SHEET: SSOC2024-ISCO08 (1133 rows)
77	Catering manager | 14122 | 1412 |  | Restaurant managers
78	Food and beverage operations manager | 14123 | 1412 |  | Restaurant managers
79	Retail manager | 14201 | 1420 |  | Retail and wholesale trade managers
80	Wholesale trade manager | 14202 | 1420 |  | Retail and wholesale trade managers
81	Sports centre manager | 14310 | 1431 |  | Sports, recreation and cultural centre managers
82	Casino operations manager | 14321 | 1431 |  | Sports, recreation and cultural centre managers
83	Attractions manager | 14322 | 1431 |  | Sports, recreation and cultural centre managers
84	Discotheque/Karaoke/Nightclub manager | 14323 | 1431 |  | Sports, recreation and cultural centre managers
85	Wellness centre manager | 14324 | 1431 |  | Sports, recreation and cultural centre managers
86	Country club manager | 14325 | 1431 |  | Sports, recreation and cultural centre managers
87	Recreation centre manager n.e.c. | 14329 | 1431 |  | Sports, recreation and cultural centre managers
88	Arts/Cultural centre manager | 14330 | 1349 | p | Professional services managers not elsewhere classified
89	Arts/Cultural centre manager | 14330 | 1431 | p | Sports, recreation and cultural centre managers
90	Event manager | 14391 | 1439 |  | Services managers not elsewhere classified
91	Travel agency manager | 14392 | 1439 |  | Services managers not elsewhere classified
92	Other services manager n.e.c. | 14399 | 1439 |  | Services managers not elsewhere classified
93	Physicist/Astronomer | 21110 | 2111 |  | Physicists and astronomers
94	Meteorologist | 21120 | 2112 |  | Meteorologists
95	Chemist | 21130 | 2113 |  | Chemists
96	Geologist | 21141 | 2114 |  | Geologists and geophysicists
97	Geophysicist | 21142 | 2114 |  | Geologists and geophysicists
98	Geologist/Geophysicist and related physical science professional n.e.c. | 21149 | 2114 |  | Geologists and geophysicists
99	Mathematician | 21211 | 2120 |  | Mathematicians, actuaries and statisticians
100	Operations research analyst | 21212 | 2120 |  | Mathematicians, actuaries and statisticians
101	Actuary | 21213 | 2120 |  | Mathematicians, actuaries and statisticians
102	Statistician | 21221 | 2120 |  | Mathematicians, actuaries and statisticians
103	Data scientist | 21222 | 2120 |  | Mathematicians, actuaries and statisticians
104	Statistical officer/Data analyst | 21231 | 2120 | p | Mathematicians, actuaries and statisticians
105	Statistical officer/Data analyst | 21231 | 3314 | p | Statistical, mathematical and related associate professionals
106	Other statistical/mathematical/actuarial professional n.e.c. | 21239 | 2120 | p | Mathematicians, actuaries and statisticians
107	Other statistical/mathematical/actuarial professional n.e.c. | 21239 | 3314 | p | Statistical, mathematical and related associate professionals
108	Biologist | 21311 | 2131 |  | Biologists, botanists, zoologists and related professionals
109	Zoologist | 21312 | 2131 |  | Biologists, botanists, zoologists and related professionals
110	Biologist/Botanist/Zoologist and related professional n.e.c. | 21319 | 2131 |  | Biologists, botanists, zoologists and related professionals
111	Horticulturist/Arborist | 21321 | 2132 |  | Farming, forestry and fisheries advisers
112	Aquaculturist | 21322 | 2132 |  | Farming, forestry and fisheries advisers
113	Agriculturist | 21323 | 2132 |  | Farming, forestry and fisheries advisers
114	Farming/Forestry/Fishery adviser n.e.c. | 21329 | 2132 |  | Farming, forestry and fisheries advisers
115	Environmental officer (environmental protection) | 21331 | 2133 |  | Environmental protection professionals
116	Environment research scientist | 21332 | 2133 |  | Environmental protection professionals
117	Environmental analyst | 21333 | 2133 |  | Environmental protection professionals
118	Environmental protection and related professional n.e.c. | 21339 | 2133 |  | Environmental protection professionals
119	Pharmacologist | 21341 | 2131 |  | Biologists, botanists, zoologists and related professionals
120	Medical laboratory scientist | 21342 | 2131 |  | Biologists, botanists, zoologists and related professionals
121	Biochemist | 21343 | 2131 |  | Biologists, botanists, zoologists and related professionals
122	Physiologist | 21344 | 2131 |  | Biologists, botanists, zoologists and related professionals
123	Animal scientist | 21345 | 2131 |  | Biologists, botanists, zoologists and related professionals
124	Medical scientist | 21346 | 2131 |  | Biologists, botanists, zoologists and related professionals
125	Clinical research professional | 21347 | 2131 |  | Biologists, botanists, zoologists and related professionals
126	Pharmacologist and related professional n.e.c. | 21349 | 2131 |  | Biologists, botanists, zoologists and related professionals
127	Manufacturing engineer | 21411 | 2141 |  | Industrial and production engineers
128	Production engineer | 21412 | 2141 |  | Industrial and production engineers
129	Automation engineer | 21413 | 2141 |  | Industrial and production engineers
130	Quality control/assurance engineer | 21414 | 2141 |  | Industrial and production engineers
131	Process engineer | 21415 | 2141 |  | Industrial and production engineers
132	Civil engineer | 21421 | 2142 |  | Civil engineers
133	Building construction engineer | 21422 | 2142 |  | Civil engineers
134	Environmental engineer | 21430 | 2143 |  | Environmental engineers
135	Mechanical engineer | 21441 | 2144 |  | Mechanical engineers
136	Industrial machinery/tools engineer | 21442 | 2144 |  | Mechanical engineers
137	Air-conditioning/Refrigeration engineer | 21443 | 2144 |  | Mechanical engineers
138	Port equipment engineer | 21444 | 2144 |  | Mechanical engineers
139	Chemical engineer (excluding petroleum and petrochemical) | 21451 | 2145 |  | Chemical engineers
140	Chemical engineer (petroleum) | 21452 | 2145 |  | Chemical engineers
141	Chemical engineer (petrochemical) | 21453 | 2145 |  | Chemical engineers
142	Food/Drink technologist | 21454 | 2145 |  | Chemical engineers
143	Mining engineer/Metallurgist and related professional | 21460 | 2146 |  | Mining engineers, metallurgists and related professionals
144	Aeronautical engineer | 21471 | 2144 |  | Mechanical engineers
145	Automotive engineer | 21472 | 2144 |  | Mechanical engineers
146	Marine engineer | 21473 | 2144 |  | Mechanical engineers
147	Naval architect | 21474 | 2144 |  | Mechanical engineers
148	Rolling stock engineer | 21475 | 2144 |  | Mechanical engineers
149	Biomedical engineer | 21491 | 2149 |  | Engineering professionals not elsewhere classified
150	Materials engineer | 21492 | 2149 |  | Engineering professionals not elsewhere classified
151	Industrial safety engineer | 21493 | 2149 |  | Engineering professionals not elsewhere classified
152	Quantity surveyor | 21494 | 2149 |  | Engineering professionals not elsewhere classified
153	Intellectual property engineer | 21495 | 2149 |  | Engineering professionals not elsewhere classified
154	Energy engineer | 21496 | 2149 |  | Engineering professionals not elsewhere classified
155	Optical engineer | 21497 | 2149 |  | Engineering professionals not elsewhere classified
156	Procurement engineer | 21498 | 2149 |  | Engineering professionals not elsewhere classified
157	Other engineering professional n.e.c. | 21499 | 2149 |  | Engineering professionals not elsewhere classified
158	Electrical engineer | 21511 | 2151 |  | Electrical engineers
159	Power generation/Distribution engineer | 21512 | 2151 |  | Electrical engineers
160	Lift engineer | 21513 | 2151 |  | Electrical engineers
161	Electronics engineer | 21521 | 2152 |  | Electronics engineers
162	Computer engineer | 21522 | 2152 |  | Electronics engineers
163	Semi-conductor engineer | 21523 | 2152 |  | Electronics engineers
164	Audio/Video equipment engineer | 21524 | 2152 |  | Electronics engineers
165	Instrumentation engineer | 21525 | 2152 |  | Electronics engineers
166	Embedded systems engineer | 21526 | 2152 |  | Electronics engineers
167	Media/Broadcast engineer | 21531 | 2153 |  | Telecommunications engineers
168	Telecommunications engineer | 21532 | 2153 |  | Telecommunications engineers
169	Building architect | 21610 | 2161 |  | Building architects
170	Landscape architect | 21621 | 2162 |  | Landscape architects
171	Landscape designer | 21622 | 2162 |  | Landscape architects
172	Fashion designer | 21631 | 2163 |  | Product and garment designers
173	Product/Industrial designer | 21632 | 2163 |  | Product and garment designers
174	Urban planner | 21641 | 2164 |  | Town and traffic planners
175	Urban and related planner n.e.c. | 21649 | 2164 |  | Town and traffic planners
176	Land surveyor | 21651 | 2165 |  | Cartographers and surveyors
177	Hydrographic surveyor | 21652 | 2165 |  | Cartographers and surveyors
178	Surveyor/Cartographer n.e.c. | 21659 | 2165 |  | Cartographers and surveyors
179	Graphic designer | 21661 | 2166 |  | Graphic and multimedia designers
180	Multimedia designer/artist/animator | 21662 | 2166 |  | Graphic and multimedia designers
181	Graphic/Multimedia designer/artist n.e.c. | 21669 | 2166 |  | Graphic and multimedia designers
182	Service designer | 21670 | 2166 |  | Graphic and multimedia designers
183	Chief/Second engineer (ship) | 21711 | 3151 |  | Ships' engineers
184	Technical superintendent | 21712 | 3151 |  | Ships' engineers
185	Ship captain/Chief mate | 21713 | 3152 |  | Ships' deck officers and pilots
186	Marine superintendent | 21714 | 3152 |  | Ships' deck officers and pilots
187	Commercial airline pilot | 21721 | 3153 |  | Aircraft pilots and related associate professionals
188	Aircraft pilot (excluding commercial airline and air force) | 21722 | 3153 |  | Aircraft pilots and related associate professionals
189	Flying instructor (excluding air force) | 21723 | 3153 |  | Aircraft pilots and related associate professionals
190	Flight engineer | 21724 | 3153 |  | Aircraft pilots and related associate professionals
191	Aircraft pilot and related professional n.e.c. | 21729 | 3153 |  | Aircraft pilots and related associate professionals
192	General practitioner/physician | 22110 | 2211 |  | Generalist medical practitioners
193	Cardiologist | 22121 | 2212 |  | Specialist medical practitioners
194	Dermatologist | 22122 | 2212 |  | Specialist medical practitioners
195	Gastroenterologist | 22123 | 2212 |  | Specialist medical practitioners
196	Internal medicine physician | 22124 | 2212 |  | Specialist medical practitioners
197	Medical oncologist | 22125 | 2212 |  | Specialist medical practitioners
198	Paediatrician | 22126 | 2212 |  | Specialist medical practitioners
199	Respiratory physician | 22127 | 2212 |  | Specialist medical practitioners
200	Psychiatrist | 22128 | 2212 |  | Specialist medical practitioners
201	Specialist medical practitioner (medical) n.e.c. | 22129 | 2212 |  | Specialist medical practitioners
202	General surgeon | 22131 | 2212 |  | Specialist medical practitioners
203	Cardiothoracic surgeon | 22132 | 2212 |  | Specialist medical practitioners
204	Hand surgeon | 22133 | 2212 |  | Specialist medical practitioners
205	Neurosurgeon | 22134 | 2212 |  | Specialist medical practitioners
206	Orthopaedic surgeon | 22135 | 2212 |  | Specialist medical practitioners
207	Paediatric surgeon | 22136 | 2212 |  | Specialist medical practitioners
208	Plastic surgeon | 22137 | 2212 |  | Specialist medical practitioners
209	Urologist | 22138 | 2212 |  | Specialist medical practitioners
210	Specialist medical practitioner (surgical) n.e.c. | 22139 | 2212 |  | Specialist medical practitioners
211	Anaesthesiologist | 22141 | 2212 |  | Specialist medical practitioners
212	Diagnostic radiologist | 22142 | 2212 |  | Specialist medical practitioners
213	Emergency physician | 22143 | 2212 |  | Specialist medical practitioners
214	Obstetrician/Gynaecologist | 22144 | 2212 |  | Specialist medical practitioners
215	Ophthalmologist | 22145 | 2212 |  | Specialist medical practitioners
216	Pathologist | 22146 | 2212 |  | Specialist medical practitioners
217	Public health physician | 22147 | 2212 |  | Specialist medical practitioners
218	Otorhinolaryngologist/Ear, nose, throat (ENT) specialist | 22148 | 2212 |  | Specialist medical practitioners
219	Specialist medical practitioner (other specialisation) n.e.c. | 22149 | 2212 |  | Specialist medical practitioners
220	Registered nurse and related nursing professional (excluding enrolled nurse) | 22200 | 2222 | p | Midwifery professionals
221	Registered nurse and related nursing professional (excluding enrolled nurse) | 22200 | 2221 | p | Nursing professionals
222	Traditional Chinese Medicine practitioner | 22301 | 2230 |  | Traditional and complementary medicine professionals
223	Traditional Chinese Medicine acupuncturist | 22302 | 2230 |  | Traditional and complementary medicine professionals
224	Veterinarian | 22500 | 2250 |  | Veterinarians
225	General dental practitioner | 22611 | 2261 |  | Dentists
226	Specialised dentist | 22612 | 2261 |  | Dentists
227	Pharmacist (patient care) | 22621 | 2262 |  | Pharmacists
228	Pharmacist n.e.c. | 22629 | 2262 |  | Pharmacists
229	Occupational health and safety professional | 22631 | 2263 |  | Environmental and occupational health and hygiene professionals
230	Environmental officer (public health) | 22632 | 2263 |  | Environmental and occupational health and hygiene professionals
231	Environmental and occupational health and hygiene professional n.e.c. | 22639 | 2263 |  | Environmental and occupational health and hygiene professionals
232	Physiotherapist | 22640 | 2264 |  | Physiotherapists 
233	Dietitian | 22651 | 2265 |  | Dieticians and nutritionists
234	Nutritionist | 22652 | 2265 |  | Dieticians and nutritionists
235	Audiologist | 22661 | 2266 |  | Audiologists and speech therapists
236	Speech therapist | 22662 | 2266 |  | Audiologists and speech therapists
237	Optometrist | 22670 | 2267 |  | Optometrists and ophthalmic opticians
238	Occupational therapist | 22680 | 2269 |  | Health professionals not elsewhere classified
239	Chiropractor | 22691 | 2269 |  | Health professionals not elsewhere classified
240	Podiatrist | 22692 | 2269 |  | Health professionals not elsewhere classified
241	Diagnostic radiographer | 22693 | 3211 |  | Medical imaging and therapeutic equipment technicians
242	Radiation therapist | 22694 | 3211 |  | Medical imaging and therapeutic equipment technicians
243	Other health professional n.e.c. | 22699 | 3211 | p | Medical imaging and therapeutic equipment technicians
244	Other health professional n.e.c. | 22699 | 2269 | p | Health professionals not elsewhere classified
245	University lecturer | 23101 | 2310 |  | University and higher education teachers
246	Polytechnic lecturer | 23102 | 2310 |  | University and higher education teachers
247	Teaching assistant/Tutor in university | 23103 | 2310 |  | University and higher education teachers
248	University/Polytechnic/Higher education teacher n.e.c. | 23109 | 2310 |  | University and higher education teachers
249	Junior college/Pre-university teacher | 23200 | 2330 |  | Secondary education teachers
250	Technical/Vocational/Commercial education institute teacher/trainer | 23300 | 2320 |  | Vocational education teachers
251	Secondary school teacher | 23400 | 2330 |  | Secondary education teachers
252	Primary school teacher | 23500 | 2341 |  | Primary school teachers
253	Education methods adviser | 23611 | 2351 |  | Education methods specialists
254	Instructional designer/technologist | 23612 | 2351 |  | Education methods specialists
255	Education methods specialist n.e.c. | 23619 | 2351 |  | Education methods specialists
256	Teacher of the visually impaired | 23621 | 2352 |  | Special needs teachers
257	Early intervention teacher for infants and children | 23622 | 2352 |  | Special needs teachers
258	Special education teacher n.e.c. | 23629 | 2352 |  | Special needs teachers
